name,salary
Ryan Shazier,"$2,376,803  "
Lamar Jackson,"$2,367,912  "
Mario Edwards,"$2,350,000  "
Kenny Clark,"$2,340,412  "
Alex Erickson,"$2,340,000  "
T.J. Watt,"$2,314,642  "
Andre Roberts,"$2,300,000  "
Chris Conley,"$2,297,500  "
Reuben Foster,"$2,258,827  "
Kendall Lamm,"$2,250,000  "
Austin Reiter,"$2,250,000  "
Ryan Ramczyk,"$2,222,889  "
Chris Jones,"$2,175,000  "
Tyler Larsen,"$2,150,000  "
Randy Bullock,"$2,102,500  "
Patrick DiMarco,"$2,100,000  "
John Simon,"$2,075,000  "
Craig Robertson,"$2,050,000  "
Deshazor Everett,"$2,000,000  "
Denzelle Good,"$2,000,000  "
Robert Griffin III,"$2,000,000  "
Matt Barkley,"$2,000,000  "
Byron Murphy,"$1,997,375  "
Rock Ya-Sin,"$1,979,114  "
Jawaan Taylor,"$1,955,975  "
Greg Little,"$1,909,731  "
Quinton Dunbar,"$1,900,000  "
Andy Janovich,"$1,900,000  "
James Develin,"$1,900,000  "
Nevin Lawson,"$1,893,750  "
Austin Corbett,"$1,892,000  "
Matt Schaub,"$1,890,000  "
Cody Ford,"$1,876,660  "
Will Hernandez,"$1,862,686  "
Derek Carrier,"$1,850,000  "
Brandon Bolden,"$1,850,000  "
Brandon King,"$1,850,000  "
Jordan Berry,"$1,850,000  "
Nick Chubb,"$1,845,774  "
Sean Bunting,"$1,844,000  "
Trayvon Mullen,"$1,814,787  "
Darius Leonard,"$1,811,951  "
Deebo Samuel,"$1,811,869  "
Joe Dahl,"$1,800,000  "
Jamize Olawale,"$1,800,000  "
Braden Smith,"$1,798,423  "
Dalton Risner,"$1,785,571  "
Kevin King,"$1,770,221  "
Ronald Jones II,"$1,767,977  "
Cam Robinson,"$1,754,541  "
Drew Lock,"$1,752,704  "
Pat O'Donnell,"$1,750,000  "
Roosevelt Nix,"$1,743,750  "
James Daniels,"$1,737,540  "
Jahlani Tavai,"$1,723,492  "
Courtland Sutton,"$1,710,480  "
Budda Baker,"$1,707,501  "
Zay Jones,"$1,694,958  "
Elgton Jenkins,"$1,691,785  "
Harold Landry,"$1,683,422  "
Forrest Lamp,"$1,666,730  "
Mike Gesicki,"$1,652,981  "
Joejuan Williams,"$1,652,944  "
Malcolm Brown,"$1,650,000  "
Marcus Maye,"$1,638,510  "
Kerryon Johnson,"$1,625,923  "
Terrence Brooks,"$1,625,000  "
Greedy Williams,"$1,614,669  "
Curtis Samuel,"$1,613,421  "
Troy Hill,"$1,612,763  "
Dante Pettis,"$1,600,140  "
T.J. Yeldon,"$1,600,000  "
Dalvin Cook,"$1,588,334  "
Mark Nzeocha,"$1,583,333  "
Josh Jackson,"$1,564,025  "
Marcus Williams,"$1,560,110  "
Marquise Blair,"$1,559,162  "
Sidney Jones,"$1,535,023  "
Breeland Speaks,"$1,525,128  "
Erik McCoy,"$1,519,437  "
Gerald Everett,"$1,511,117  "
Lucas Patrick,"$1,487,500  "
Chris Reed,"$1,487,500  "
Ben Banogu,"$1,486,127  "
Adam Shaheen,"$1,477,634  "
Christian Kirk,"$1,473,717  "
Justin Bethel,"$1,465,000  "
Ryan Griffin,"$1,450,000  "
Irv Smith,"$1,449,609  "
Quincy Wilson,"$1,441,569  "
Uchenna Nwosu,"$1,439,894  "
A.J. Brown,"$1,413,092  "
Dallas Goedert,"$1,406,068  "
Matt LaCosse,"$1,400,000  "
Tyus Bowser,"$1,393,903  "
Drew Sample,"$1,376,574  "
Daniel McCullers,"$1,375,000  "
Connor Williams,"$1,372,247  "
Joe Mixon,"$1,362,544  "
Ben Braunecker,"$1,350,000  "
Anthony Miller,"$1,338,425  "
Miles Sanders,"$1,337,544  "
Ryan Anderson,"$1,331,181  "
Kemoko Turay,"$1,304,600  "
Lonnie Johnson,"$1,301,163  "
Joshua Garnett,"$1,300,000  "
Crevon LeBlanc,"$1,300,000  "
Colin Jones,"$1,300,000  "
Justin Evans,"$1,299,824  "
Beau Brinkley,"$1,281,250  "
M.J. Stewart,"$1,270,778  "
DeMarcus Walker,"$1,268,465  "
Max Scharping,"$1,267,022  "
Mecole Hardman,"$1,248,763  "
DeShone Kizer,"$1,237,104  "
Jessie Bates III,"$1,236,954  "
J.J. Arcega-Whiteside,"$1,235,682  "
Trysten Hill,"$1,217,494  "
Luke Rhodes,"$1,212,500  "
Donte Jackson,"$1,203,131  "
Parris Campbell,"$1,193,984  "
Duke Dawson,"$1,186,219  "
Nasir Adderley,"$1,183,028  "
P.J. Hall,"$1,176,069  "
Jake McQuaide,"$1,175,000  "
Raekwon McMillan,"$1,174,384  "
Taylor Rapp,"$1,168,424  "
Juan Thornhill,"$1,160,067  "
Isaiah Oliver,"$1,159,161  "
Andy Isabella,"$1,157,469  "
