name,salary
Brad Wing,"$2,150,000  "
Laken Tomlinson,"$2,137,561  "
Eric Reid,"$2,120,184  "
Ja'Wuan James,"$2,107,100  "
Lardarius Webb,"$2,100,000  "
Mike Adams,"$2,100,000  "
Demetrius Harris,"$2,100,000  "
Patrick DiMarco,"$2,100,000  "
Vernon Butler,"$2,099,129  "
Brandin Cooks,"$2,095,863  "
Justin Pugh,"$2,086,475  "
HaHa Clinton-Dix,"$2,084,625  "
Germain Ifedi,"$2,066,276  "
Tyler Eifert,"$2,064,000  "
Margus Hunt,"$2,050,000  "
Dee Ford,"$2,039,675  "
Phillip Dorsett,"$2,033,854  "
Ed Dickson,"$2,033,333  "
Ryan Allen,"$2,033,333  "
Sharrif Floyd,"$2,019,050  "
Lance Kendricks,"$2,000,000  "
Ryan Mallett,"$2,000,000  "
Karlos Dansby,"$2,000,000  "
Shane Lechler,"$2,000,000  "
Tramon Williams,"$2,000,000  "
Mark Sanchez,"$2,000,000  "
Kendall Wright,"$2,000,000  "
Alex Okafor,"$2,000,000  "
Aldrick Robinson,"$2,000,000  "
Robbie Gould,"$2,000,000  "
Niles Paul,"$2,000,000  "
Marcus Sherels,"$2,000,000  "
Case Keenum,"$2,000,000  "
Barkevious Mingo,"$2,000,000  "
Al Woods,"$2,000,000  "
Chris Maragos,"$2,000,000  "
Jared Crick,"$2,000,000  "
Stephen Paea,"$2,000,000  "
Byron Bell,"$2,000,000  "
Jonathan Cooper,"$2,000,000  "
Kemal Ishmael,"$2,000,000  "
Daren Bates,"$2,000,000  "
Matt Slauson,"$2,000,000  "
Damion Square,"$2,000,000  "
Jamize Olawale,"$2,000,000  "
Lerentee McCray,"$2,000,000  "
Darqueze Dennard,"$1,994,725  "
Damarious Randall,"$1,978,934  "
Jason Verrett,"$1,972,251  "
Stephone Anthony,"$1,932,929  "
Deone Bucannon,"$1,927,301  "
Jeff Heath,"$1,917,750  "
Jay Prosch,"$1,916,667  "
Jaron Brown,"$1,910,000  "
Malcom Brown,"$1,903,307  "
Quinton Dunbar,"$1,900,000  "
Josh Martin,"$1,900,000  "
Jordan Mills,"$1,900,000  "
Ted Larsen,"$1,883,333  "
Andy Lee,"$1,862,500  "
Tom Compton,"$1,850,000  "
Donnie Jones,"$1,833,333  "
Vince Williams,"$1,833,333  "
Spencer Ware,"$1,800,000  "
Charcandrick West,"$1,800,000  "
Andre Roberts,"$1,800,000  "
Matthew Slater,"$1,800,000  "
Bradley McDougald,"$1,800,000  "
Luke Willson,"$1,800,000  "
Ryan Jensen,"$1,797,000  "
Terrance West,"$1,797,000  "
Will Compton,"$1,797,000  "
Dominique Easley,"$1,797,000  "
Cairo Santos,"$1,797,000  "
Albert Wilson,"$1,797,000  "
Cameron Fleming,"$1,797,000  "
Kerry Wynn,"$1,797,000  "
Michael Thomas,"$1,797,000  "
Chris Hubbard,"$1,797,000  "
Damien Williams,"$1,797,000  "
Korey Toomer,"$1,797,000  "
Denico Autry,"$1,797,000  "
Jimmie Ward,"$1,778,134  "
Matt Moore,"$1,775,000  "
Kevin King,"$1,770,221  "
Cam Robinson,"$1,754,541  "
A.Q. Shipley,"$1,750,000  "
Daniel Kilgore,"$1,750,000  "
Scott Tolzien,"$1,750,000  "
Nick Folk,"$1,750,000  "
Alfred Morris,"$1,750,000  "
Neiko Thorpe,"$1,750,000  "
Marshall Newhouse,"$1,750,000  "
Malik McDowell,"$1,738,860  "
Bradley Roby,"$1,738,132  "
T.J. Johnson,"$1,737,500  "
Michael Hoomanawanui,"$1,733,333  "
Andre Holmes,"$1,716,667  "
Teddy Bridgewater,"$1,712,376  "
Budda Baker,"$1,707,501  "
Dekoda Watson,"$1,700,000  "
Danny Amendola,"$1,700,000  "
Zay Jones,"$1,694,958  "
Charles Johnson,"$1,675,000  "
Forrest Lamp,"$1,666,730  "
Craig Robertson,"$1,666,667  "
Nathan Stupar,"$1,666,667  "
Emmanuel Ogbah,"$1,652,410  "
Jacquizz Rodgers,"$1,650,000  "
Josh Kline,"$1,650,000  "
Robert Golden,"$1,650,000  "
Marcus Maye,"$1,638,510  "
Kevin Dodd,"$1,638,077  "
Zach Kerr,"$1,625,000  "
Kyle Wilber,"$1,625,000  "
Mychal Rivera,"$1,625,000  "
Jaylon Smith,"$1,623,743  "
Curtis Samuel,"$1,613,421  "
Corey Graham,"$1,600,000  "
